mmsi,shipname
211306470,NOA
211306740,BUNTEKUH
211308180,MIRI
211309160,FIDES
211310160,TINE
211310300,HARANKA
211310320,OLDMARY
211310610,SYTHEKLAVONSCHELE
211311590,SIDDHARTHA
211312570,CASABLANCA
211313617,PESORSADOS
211313990,OKEANIS
211314100,XIPHIAS
211314450,NCEMMAHELENE302
211314840,BOLTENHAGEN
211317560,MARIPOSA
211317870,VIVIANE
211318250,FRENZY3
211318490,WINDSUCHER
211318970,NEUHARLINGERSIEL
211319250,MSORION
211320650,IMPI
211320740,LIBERTAS
211320930,DOMINO
211322640,JOHNSILVER
211324240,LIZARD
211324380,ELLA
211324510,JAN7
211325720,LOLLYPOP
211326240,PIVO2
211326290,FRANZI
211327400,CHARISMA
211327580,MAKANI
211327770,ALUSCHI
211329620,PHILIA
211329760,LISSY
211330820,XENOSIII
211334250,PIA
211335100,ANARCHENOVA
211335560,PETITBATEAU
211335640,GROENLAND
211339080,SAFINA
211339990,VINZENZ
211341510,CAPELLA
211343540,ORA
211344430,FREEDOM
211344720,KIELERSPROTTE
211345430,SYMOINMOIN
211345520,JUNGLEQUEEN
211345690,LEILA
211346070,LILLYEVA
211347330,GEBRUEDER
211347360,REGALIS
211347590,COOGOR
211347620,SILVERPEARL
211348050,BRANTA
211348650,LIBERTY
211349080,MONI
211350010,SIMPLYBLUE
211351160,VICTORJARA
211351260,AEGIR
211351290,INALTUM
211351690,WINDJULE
211352040,LILLEBROR2
211352750,LYNNMARIE
211353890,ANKE2
211354070,NAMU
211354840,NEMO3
211354970,CESTLAVIE
211355330,KREOLE
211355590,FRIJA
211357220,STARTLIVING
211358010,GALATEA
211359250,PADANGBAI
211360150,SIWA
211361790,MOSITZ
211362930,SEEFUCHS
211365600,SYNORDWIND
211366160,IKIMANO
211367400,ROWI
211367520,FREEWILLY
211367700,FATAMORGANGA
211368970,WEGA
211369190,ORCA
211369530,LABALEINE
211370180,WIGBOLD7
211372040,CONTIGO
211373180,IRMALADOUCE
211373250,SAMANTA
211373270,PANTARHEI
211373920,SYSCHLAWINER
211374060,JONATHAN
211374600,MONBIJOU
211375300,RAROTONGA
211376150,OBSESSION
211378260,DEIOPEA
211380140,SYBORA
211380600,KAIROS
211381310,ORION
211382770,NAAIUT
211383160,RONJA
211383600,SYMANATEE
211383670,SYRIKEVONOYTEN
211384660,MEKTOUB
211384780,PYTHEAS4
211385240,JOY
211385730,WALTZINGMATILDA
211386830,VELADORO
211387600,MANATEE
211387680,FREGATTE
211388100,FELIXDB
211388790,MEAALOFA
211388800,NORDICA
211388860,SOMMERWIND
