"LANDING_YEAR","PACFIN_SPECIES_CODE","PACFIN_SPECIES_COMMON_NAME","FIRST_QTR_LANDED_WEIGHT_MTONS","FIRST_QTR_EXVESSEL_REVENUE","FIRST_QTR_LANDED_PPP","FIRST_QTR_NUMBER_OF_VESSELS","FIRST_QTR_NUMBER_OF_DEALERS","FIRST_QTR_CONFIDENTIAL_FLAG","SECOND_QTR_LANDED_WEIGHT_MTONS","SECOND_QTR_EXVESSEL_REVENUE","SECOND_QTR_LANDED_PPP","SECOND_QTR_NUMBER_OF_VESSELS","SECOND_QTR_NUMBER_OF_DEALERS","SECOND_QTR_CONFIDENTIAL_FLAG","THIRD_QTR_LANDED_WEIGHT_MTONS","THIRD_QTR_EXVESSEL_REVENUE","THIRD_QTR_LANDED_PPP","THIRD_QTR_NUMBER_OF_VESSELS","THIRD_QTR_NUMBER_OF_DEALERS","THIRD_QTR_CONFIDENTIAL_FLAG","FOURTH_QTR_LANDED_WEIGHT_MTONS","FOURTH_QTR_EXVESSEL_REVENUE","FOURTH_QTR_LANDED_PPP","FOURTH_QTR_NUMBER_OF_VESSELS","FOURTH_QTR_NUMBER_OF_DEALERS","FOURTH_QTR_CONFIDENTIAL_FLAG"
"1994","JMCK","JACK MACKEREL",1356.32,140279.13,.05,29,17," ",1018.96,164538.5,.07,68,37," ",173.68,18691.17,.05,48,29," ",356.83,57645.5,.07,55,26," "
"1994","MSQD","MARKET SQUID",13182.03,2008586.78,.07,52,27," ",5146.75,1697869.97,.15,49,24," ",11089.7,3700108.13,.15,66,35," ",26069.91,6970602.05,.12,78,43," "
"1994","NANC","NORTHERN ANCHOVY",65.68,23658.15,.16,7,6," ",617.18,199517.07,.15,22,21," ",1106.64,297300.61,.12,26,22," ",69.72,30041,.2,12,10," "
"1994","PSDN","PACIFIC SARDINE",4444.13,398437.06,.04,35,18," ",3538.71,381934.2,.05,34,25," ",1455.27,261969.89,.08,25,23," ",2205.43,472941.05,.1,35,22," "
"1994","UMCK","UNSP. MACKEREL",0,0,0,0,0," ",,,,4,1,"*",29.88,2645.68,.04,5,3," ",,,,2,2,"*"
"1994","XXXX Subtotal","",0,0,0,,," ",,,,,,"*",0,0,0,,," ",,,,,,"*"
"1994 TOTAL","","",22455.08,2920423.21,.06,,," ",12632.35,2831717.2,.1,,,"*",15960.16,4677637.06,.13,,," ",31137.32,7830198.1,.11,,,"*"
"1995","CMCK","CHUB MACKEREL",3456.5,447262.04,.06,77,44," ",1864.13,178787.01,.04,102,55," ",2579.82,366478.11,.06,121,71," ",913.87,156591.4,.08,92,55," "
"1995","JMCK","JACK MACKEREL",542.79,75472.27,.06,25,15," ",251.89,69193.02,.12,50,28," ",505.57,68840.48,.06,50,26," ",576.72,78306.72,.06,42,22," "
"1995","MSQD","MARKET SQUID",15280.33,5698784.5,.17,68,31," ",2528.85,787573.72,.14,59,25," ",7661.69,2343071.49,.14,58,34," ",44867.61,13527858.7,.14,89,33," "
"1995","NANC","NORTHERN ANCHOVY",34.03,10840.6,.14,8,8," ",1066.63,139889.56,.06,29,17," ",722.21,157510.43,.1,17,18," ",192.92,60417.9,.14,14,14," "
"1995","PSDN","PACIFIC SARDINE",13312.69,1244614.7,.04,34,15," ",13616.36,1103003.21,.04,35,25," ",4074.83,359782.25,.04,31,19," ",9177.92,844645.72,.04,45,19," "
"1995","UMCK","UNSP. MACKEREL",0,0,0,0,0," ",0,0,0,0,0," ",,,,3,2,"*",,,,1,1,"*"
"1995","XXXX Subtotal","",0,0,0,,," ",0,0,0,,," ",,,,,,"*",,,,,,"*"
"1995 TOTAL","","",32626.34,7476974.11,.1,,," ",19327.86,2278446.53,.05,,," ",15544.12,3295682.75,.1,,,"*",55729.05,14667820.43,.12,,,"*"
