LANDING_YEAR,PORT_NAME,SDM_90,AGENCY_CODE
2007,MORRO BAY,0.943726502,C
2007,MOSS LANDING,0.688759936,C
2007,NASELLE,NA,W
2007,NATIONAL CITY,2.894071901,C
2007,NEAH BAY,NA,W
2007,NEWPORT,NA,O
2007,NEWPORT BEACH,3.487693214,C
2007,OCEANSIDE,3.141868204,C
2007,OXNARD,3.42472601,C
2007,PLAYA DEL REY,3.493736619,C
2007,POINT LOMA,2.847753521,C
2007,PORT HUENEME,3.377264636,C
2007,PORT ORFORD,0.921364065,O
2007,PRINCETON / HALF MOON BAY,0.786225161,C
2007,REDONDO BEACH,3.491368365,C
2007,RICHMOND,0.926544035,C
2007,SAN DIEGO,2.752630585,C
2007,SAN FRANCISCO,0.877640097,C
2007,SAN PEDRO,3.461188278,C
2007,SAN SIMEON,0.681641603,C
2007,SANTA BARBARA,3.139126498,C
2007,SANTA CRUZ,0.759952028,C
2007,SANTA MONICA,3.606216667,C
2007,SAUSALITO,0.564017894,C
2007,SEAL BEACH,3.530631131,C
2007,SHELTER COVE,0.117497379,C
2007,SOUTH SAN FRANCISCO,0.825639069,C
2007,TACOMA,NA,W
2007,TERMINAL ISLAND,3.481886921,C
2007,THE DALLES,NA,W
2007,VALLEJO,1.130020058,C
2007,VENTURA,3.454458825,C
2007,WESTPORT,NA,W
2007,WHIDBY ISLAND,NA,W
2007,WILLOW CREEK,1.37727558,C
2007,WILMINGTON,3.493736619,C
2007,WINCHESTER BAY,2.764455176,O
2008,ABERDEEN,NA,W
2008,ALAMEDA,1.020338709,C
2008,ANACORTES,NA,W
2008,ASTORIA,NA,O
2008,AVALON,3.813291189,C
2008,AVILA,1.418648971,C
2008,BELLINGHAM BAY,NA,W
2008,BERKELEY,1.055521321,C
2008,BODEGA BAY,0.384210783,C
2008,CATALINA ISLAND,3.816942307,C
2008,CHARLESTON (COOS BAY),2.131097367,O
2008,CHINOOK,NA,W
2008,CRESCENT CITY,1.669581789,C
2008,DANA POINT,3.947613884,C
2008,DILLON BEACH,0.440845078,C
2008,EMERYVILLE,1.027590144,C
2008,EUREKA,0.911989195,C
2008,FIELDS LANDING,0.751484844,C
2008,FORT BRAGG,0.185632982,C
2008,GARIBALDI (TILLAMOOK),NA,O
2008,GAVIOTA,2.91962746,C
2008,GOLETA,3.482169146,C
2008,GUADALUPE,1.920862139,C
2008,HUMBOLDT,1.163132278,C
2008,HUNTINGTON BEACH,4.085001763,C
2008,ILWACO,NA,W
2008,LACONNER,NA,W
2008,LONG BEACH,4.090387389,C
2008,LOS ANGELES,4.335926462,C
2008,MISSION BAY,3.34160684,C
2008,MONTEREY,0.61788518,C
2008,MORRO BAY,1.214728363,C
2008,MOSS LANDING,0.764814175,C
2008,NASELLE,NA,W
2008,NATIONAL CITY,3.419282887,C
2008,NEAH BAY,NA,W
2008,NEWPORT,NA,O
2008,NEWPORT BEACH,4.076510338,C
2008,OCEANSIDE,3.682194034,C
2008,OXNARD,4.048330805,C
