LANDING_YEAR,PORT_NAME,SDM_90_JS_prob,AGENCY_CODE
2005,FIELDS LANDING,0.272761574,C
2005,FORT BRAGG,0.100244306,C
2005,GARIBALDI (TILLAMOOK),NA,O
2005,GAVIOTA,0.764464484,C
2005,GOLETA,0.853280931,C
2005,GUADALUPE,0.703058076,C
2005,HUMBOLDT,0.39855796,C
2005,HUNTINGTON BEACH,0.967549884,C
2005,ILWACO,NA,W
2005,LACONNER,NA,W
2005,LONG BEACH,0.960508563,C
2005,LOS ANGELES,0.969888973,C
2005,MISSION BAY,0.990813031,C
2005,MONTEREY,0.483849964,C
2005,MORRO BAY,0.655502939,C
2005,MOSS LANDING,0.533252612,C
2005,NASELLE,NA,W
2005,NATIONAL CITY,0.993613589,C
2005,NEAH BAY,NA,W
2005,NEWPORT,NA,O
2005,NEWPORT BEACH,0.976056091,C
2005,OCEANSIDE,0.987056156,C
2005,OXNARD,0.951445288,C
2005,PLAYA DEL REY,0.960508563,C
2005,POINT LOMA,0.991275871,C
2005,PORT HUENEME,0.945842709,C
2005,PORT ORFORD,0.300136723,O
2005,PRINCETON / HALF MOON BAY,0.506079388,C
2005,REDONDO BEACH,0.957771489,C
2005,RICHMOND,0.586171981,C
2005,SAN DIEGO,0.994408461,C
2005,SAN FRANCISCO,0.563150083,C
2005,SAN PEDRO,0.95850957,C
2005,SAN SIMEON,0.554365444,C
2005,SANTA BARBARA,0.931142375,C
2005,SANTA CRUZ,0.519254041,C
2005,SANTA MONICA,0.964141698,C
2005,SAUSALITO,0.413462248,C
2005,SEAL BEACH,0.966541252,C
2005,SHELTER COVE,0.142001039,C
2005,SOUTH SAN FRANCISCO,0.53500682,C
2005,TACOMA,NA,W
2005,TERMINAL ISLAND,0.960304822,C
2005,THE DALLES,NA,W
2005,VALLEJO,0.668081669,C
2005,VENTURA,0.956695427,C
2005,WESTPORT,NA,W
2005,WHIDBY ISLAND,NA,W
2005,WILLOW CREEK,0.587881561,C
2005,WILMINGTON,0.960508563,C
2005,WINCHESTER BAY,0.707869856,O
2006,ABERDEEN,NA,W
2006,ALAMEDA,0.521573564,C
2006,ANACORTES,NA,W
2006,ASTORIA,NA,O
2006,AVALON,0.965596288,C
2006,AVILA,0.622605465,C
2006,BELLINGHAM BAY,NA,W
2006,BERKELEY,0.536414673,C
2006,BODEGA BAY,0.273824155,C
2006,CATALINA ISLAND,0.965808648,C
2006,CHARLESTON (COOS BAY),0.326551438,O
2006,CHINOOK,NA,W
2006,CRESCENT CITY,0.355661092,C
2006,DANA POINT,0.982970539,C
2006,DILLON BEACH,0.298137851,C
2006,EMERYVILLE,0.522565136,C
2006,EUREKA,0.260776886,C
2006,FIELDS LANDING,0.228246922,C
2006,FORT BRAGG,0.201801324,C
2006,GARIBALDI (TILLAMOOK),NA,O
2006,GAVIOTA,0.787032502,C
2006,GOLETA,0.883365702,C
2006,GUADALUPE,0.691517648,C
2006,HUMBOLDT,0.337523352,C
2006,HUNTINGTON BEACH,0.976789076,C
2006,ILWACO,NA,W
2006,LACONNER,NA,W
2006,LONG BEACH,0.972915546,C
2006,LOS ANGELES,0.975581258,C
2006,MISSION BAY,0.993752818,C
2006,MONTEREY,0.35096436,C
2006,MORRO BAY,0.593147902,C
2006,MOSS LANDING,0.414032466,C
2006,NASELLE,NA,W
2006,NATIONAL CITY,0.994672174,C
2006,NEAH BAY,NA,W
2006,NEWPORT,NA,O
2006,NEWPORT BEACH,0.981904727,C
2006,OCEANSIDE,0.990079282,C
2006,OXNARD,0.96373641,C
2006,PLAYA DEL REY,0.972915546,C
2006,POINT LOMA,0.994188532,C
2006,PORT HUENEME,0.96107394,C
2006,PORT ORFORD,0.253067484,O
2006,PRINCETON / HALF MOON BAY,0.398566188,C
2006,REDONDO BEACH,0.971445608,C
2006,RICHMOND,0.489377253,C
2006,SAN DIEGO,0.996016153,C
2006,SAN FRANCISCO,0.4631638,C
2006,SAN PEDRO,0.972563337,C
2006,SAN SIMEON,0.464601888,C
2006,SANTA BARBARA,0.9471139,C
2006,SANTA CRUZ,0.400731371,C
2006,SANTA MONICA,0.973311043,C
2006,SAUSALITO,0.362755525,C
2006,SEAL BEACH,0.975574867,C
2006,SHELTER COVE,0.184687257,C
2006,SOUTH SAN FRANCISCO,0.429701845,C
2006,TACOMA,NA,W
2006,TERMINAL ISLAND,0.973341023,C
2006,THE DALLES,NA,W
2006,VALLEJO,0.565102061,C
2006,VENTURA,0.966523995,C
2006,WESTPORT,NA,W
2006,WHIDBY ISLAND,NA,W
2006,WILLOW CREEK,0.493445734,C
2006,WILMINGTON,0.972915546,C
2006,WINCHESTER BAY,0.605469751,O
2007,ABERDEEN,NA,W
2007,ALAMEDA,0.447041396,C
2007,ANACORTES,NA,W
2007,ASTORIA,NA,O
2007,AVALON,0.930190953,C
2007,AVILA,0.396803615,C
2007,BELLINGHAM BAY,NA,W
2007,BERKELEY,0.457473144,C
2007,BODEGA BAY,0.174895942,C
2007,CATALINA ISLAND,0.930853484,C
2007,CHARLESTON (COOS BAY),0.31645791,O
2007,CHINOOK,NA,W
2007,CRESCENT CITY,0.352363561,C
2007,DANA POINT,0.973441617,C
2007,DILLON BEACH,0.201203268,C
2007,EMERYVILLE,0.446008852,C
2007,EUREKA,0.247727373,C
2007,FIELDS LANDING,0.211277162,C
2007,FORT BRAGG,0.063104581,C
