LANDING_YEAR,PORT_NAME,AGENCY_CODE,SDM_90_JS_CPUE
2007,AVALON,C,2.925318688066231
2007,AVILA,C,1.167907797864059
2007,BELLINGHAM BAY,W,NA
2007,BERKELEY,C,1.0957430988410501
2007,BODEGA BAY,C,0.41128815397102036
2007,CATALINA ISLAND,C,2.9336448076894746
2007,CHARLESTON (COOS BAY),O,1.4060456743279839
2007,CRESCENT CITY,C,1.3295506472448804
2007,DANA POINT,C,3.0563831015614045
2007,DILLON BEACH,C,0.46805273839614187
2007,EUREKA,C,0.7275967938414166
2007,FORT BRAGG,C,0.12576258710494986
2007,GARIBALDI (TILLAMOOK),O,NA
2007,GAVIOTA,C,2.221504991068018
2007,GOLETA,C,2.6617722995411675
2007,GUADALUPE,C,1.5231028921972638
2007,HUMBOLDT,C,0.9125560560061936
2007,HUNTINGTON BEACH,C,3.131071779730346
2007,ILWACO,W,NA
2007,LACONNER,W,NA
2007,LONG BEACH,C,3.1389758208615244
2007,LOS ANGELES,C,3.3131205323309505
2007,MISSION BAY,C,2.6586865193977283
2007,MONTEREY,C,0.6244534519493145
2007,MORRO BAY,C,1.0223214681320503
2007,MOSS LANDING,C,0.8187742010319992
2007,"NASELLE",W,NA
2007,"NATIONAL CITY",C,2.770559032141658
2007,NEAH BAY,W,NA
2007,NEWPORT,O,NA
2007,NEWPORT BEACH,C,3.131743223805818
2007,OCEANSIDE,C,2.9015519021772187
2007,OXNARD,C,3.1739296294394763
2007,PLAYA DEL REY,C,3.1389758208615244
2007,POINT LOMA,C,2.6400190632608553
2007,PORT HUENEME,C,3.1305010308055077
2007,PRINCETON / HALF MOON BAY,C,0.8280131657714506
2007,REDONDO BEACH,C,3.137982530322467
2007,SAN DIEGO,C,2.5969039637849707
2007,SAN FRANCISCO,C,0.892842915849423
2007,SAN PEDRO,C,3.106889610043078
2007,SAN SIMEON,C,0.7740665460459544
2007,SANTA BARBARA,C,2.962301581630199
2007,SANTA CRUZ,C,0.8355262909628282
2007,SANTA MONICA,C,3.265643303457365
2007,SEAL BEACH,C,3.160771507177596
2007,TACOMA,W,NA
2007,TERMINAL ISLAND,C,3.1233126516040954
2007,VALLEJO,C,1.1387696611070175
2007,VENTURA,C,3.205249993787725
2007,WESTPORT,W,NA
2007,WILLOW CREEK,C,1.575938848992582
2007,WILMINGTON,C,3.1389758208615244
2007,WINCHESTER BAY,O,2.56164576061282
2008,ABERDEEN,W,NA
2008,ALAMEDA,C,0.7661654102977827
2008,ANACORTES,W,NA
2008,ASTORIA,O,NA
2008,AVALON,C,3.9494638503083985
2008,AVILA,C,1.2863269854340056
2008,BELLINGHAM BAY,W,NA
2008,BERKELEY,C,0.7827191583977914
2008,BODEGA BAY,C,0.29843282946989363
2008,CATALINA ISLAND,C,3.958425972831156
2008,CHARLESTON (COOS BAY),O,1.8984920540564463
2008,CRESCENT CITY,C,1.7357953087654672
2008,DANA POINT,C,4.061599951969245
2008,DILLON BEACH,C,0.3381381615986874
2008,EUREKA,C,0.9526998277715372
2008,FORT BRAGG,C,0.10571142360032981
2008,GARIBALDI (TILLAMOOK),O,NA
2008,GAVIOTA,C,2.9711643000321715
2008,GOLETA,C,3.619726498690736
2008,GUADALUPE,C,1.8429179837326233
2008,HUMBOLDT,C,1.1864424171502865
2008,HUNTINGTON BEACH,C,4.198039394204468
2008,ILWACO,W,NA
2008,LACONNER,W,NA
2008,LONG BEACH,C,4.220175468165403
2008,LOS ANGELES,C,4.412852809198526
2008,MISSION BAY,C,3.4107714475184987
2008,MONTEREY,C,0.4869168492758763
2008,MORRO BAY,C,1.043826490471129
2008,MOSS LANDING,C,0.6314031526873745
2008,"NASELLE",W,NA
2008,"NATIONAL CITY",C,3.5638451238658893
2008,NEAH BAY,W,NA
2008,NEWPORT,O,NA
2008,NEWPORT BEACH,C,4.169460776380706
2008,OCEANSIDE,C,3.7966557463894675
