LANDING_YEAR,LANDING_MONTH,LANDING_DAY,PORT_AREA_CODE,MSQD_SPAWN_SDM_30,MSQD_SPAWN_SDM_90,MSQD_SPAWN_SDM_220
2000,11,30,TLA,0.09375,0.051194539,0.022896394
2000,11,1,NPA,0.125,0.027681661,0.016821346
2000,11,2,NPA,0.09375,0.024221453,0.016241299
2000,11,3,NPA,0.125,0.027681661,0.016821346
2000,11,4,NPA,0.09375,0.024221453,0.015661253
2000,11,5,NPA,0.09375,0.020761246,0.012761021
2000,11,6,NPA,0.09375,0.017301038,0.009860789
2000,11,7,NPA,0.0625,0.01384083,0.008700696
2000,11,8,NPA,0.0625,0.010380623,0.00812065
2000,11,9,NPA,0.0625,0.010380623,0.00812065
2000,11,10,NPA,0.0625,0.010380623,0.00812065
2000,11,11,NPA,0,0.003460208,0.006960557
2000,11,12,NPA,0,0.003460208,0.00638051
2000,11,13,NPA,0,0.003460208,0.00638051
2000,11,14,NPA,0,0.003460208,0.00638051
2000,11,15,NPA,0,0.006920415,0.006960557
2000,11,16,NPA,0,0.006920415,0.007540603
2000,11,17,NPA,0,0.006920415,0.007540603
2000,11,18,NPA,0,0.003460208,0.006960557
2000,11,19,NPA,0,0.006920415,0.00812065
2000,11,20,NPA,0,0.006920415,0.00812065
2000,11,21,NPA,0.0625,0.017301038,0.010440835
2000,11,22,NPA,0.0625,0.017301038,0.011600928
2000,11,23,NPA,0.09375,0.020761246,0.013341067
2000,11,24,NPA,0.09375,0.020761246,0.013921114
2000,11,25,NPA,0.09375,0.020761246,0.015661253
2000,11,26,NPA,0.09375,0.024221453,0.016241299
2000,11,27,NPA,0.09375,0.024221453,0.017401392
2000,11,28,NPA,0.09375,0.024221453,0.016241299
2000,11,29,NPA,0.125,0.034602076,0.019141531
2000,11,30,NPA,0.125,0.038062284,0.021461717
2000,11,1,CBA,0.103448276,0.035211268,0.016519174
2000,11,2,CBA,0.103448276,0.035211268,0.015929204
2000,11,3,CBA,0.103448276,0.035211268,0.016519174
2000,11,4,CBA,0.103448276,0.031690141,0.013569322
2000,11,5,CBA,0.068965517,0.024647887,0.012389381
2000,11,6,CBA,0.034482759,0.014084507,0.007669617
2000,11,7,CBA,0.034482759,0.01056338,0.006489676
2000,11,8,CBA,0.034482759,0.01056338,0.005309735
2000,11,9,CBA,0.034482759,0.01056338,0.005309735
2000,11,10,CBA,0.034482759,0.01056338,0.004719764
2000,11,11,CBA,0.034482759,0.01056338,0.003539823
2000,11,12,CBA,0.034482759,0.007042254,0.002949853
2000,11,13,CBA,0.034482759,0.007042254,0.004719764
2000,11,14,CBA,0.034482759,0.007042254,0.004719764
2000,11,15,CBA,0.034482759,0.007042254,0.005309735
2000,11,16,CBA,0.034482759,0.01056338,0.005899705
2000,11,17,CBA,0.034482759,0.01056338,0.004719764
