"LANDING_YEAR","PORT_AREA_CODE","ROUND_WEIGHT_MTONS","LANDING_MONTH"
2009,"XXX",0,12
2010,"BDA",48.46,12
2010,"BGA",24.81,12
2010,"CCA",3030.15,12
2010,"ERA",2119.67,12
2010,"LAA",0,12
2010,"MNA",21.72,12
2010,"MRA",0,12
2010,"SFA",297.8,12
2010,"XXX",0,12
2010,"BRA",1360.78,12
2010,"CBA",2440.81,12
2010,"CLO",1611.26,12
2010,"NPA",2361.34,12
2010,"TLA",303.16,12
2010,"XXX",0,12
2010,"CLW",1149.69,12
2010,"CWA",1388.12,12
2010,"NPS",261.83,12
2010,"SPS",13.98,12
2010,"WA5",0,12
2010,"XXX",0,12
2011,"BDA",1006.63,12
2011,"BGA",106.75,12
2011,"CCA",1182.38,12
2011,"ERA",735.58,12
2011,"MNA",66.68,12
2011,"MRA",0,12
2011,"SBA",0,12
2011,"SFA",2014.39,12
2011,"XXX",0,12
2011,"BRA",386.7,12
2011,"CBA",1241.05,12
2011,"CLO",1020.38,12
2011,"NPA",1839.69,12
2011,"TLA",236.65,12
2011,"XXX",0,12
2011,"CLW",792.12,12
2011,"CWA",1470.78,12
2011,"NPS",236.64,12
2011,"SPS",39.34,12
2011,"WA5",0,12
2011,"XXX",0,12
2012,"BDA",1500.27,12
2012,"BGA",0,12
2012,"CCA",0,12
2012,"ERA",0,12
2012,"MNA",90.37,12
2012,"MRA",0,12
2012,"SBA",0,12
2012,"SFA",3337.22,12
2012,"XXX",0,12
2012,"BRA",137.69,12
2012,"CBA",968.09,12
2012,"CLO",635.12,12
2012,"NPA",1013.29,12
2012,"TLA",124.77,12
2012,"XXX",0,12
2012,"CLW",624.16,12
2012,"CWA",807.54,12
2012,"NPS",243.99,12
2012,"SPS",26.92,12
2012,"WA5",0,12
2012,"XXX",0,12
2013,"BDA",152.48,12
2013,"BGA",0,12
2013,"CCA",0,12
2013,"ERA",0,12
2013,"MNA",82.01,12
2013,"MRA",19.26,12
2013,"SBA",0,12
2013,"SFA",462.42,12
2013,"XXX",0,12
2013,"BRA",100.72,12
2013,"CBA",67.7,12
2013,"CLO",68.59,12
2013,"NPA",65.5,12
2013,"TLA",8.98,12
2013,"XXX",0,12
2013,"CLW",86.2,12
2013,"CWA",749.83,12
2013,"NPS",194.65,12
2013,"SPS",31.63,12
2013,"WA5",0,12
2013,"XXX",0,12
2014,"BDA",256.73,12
2014,"BGA",146.22,12
2014,"CCA",902.23,12
2014,"ERA",920.02,12
2014,"MNA",82.2,12
2014,"MRA",35.81,12
2014,"SBA",0,12
2014,"SFA",487.23,12
2014,"XXX",0,12
2014,"BRA",387.62,12
2014,"CBA",859.19,12
2014,"CLO",1049.37,12
2014,"NPA",1393.75,12
2014,"TLA",159.64,12
2014,"XXX",0,12
2014,"CLW",918.02,12
2014,"CWA",922.46,12
2014,"NPS",148.07,12
2014,"SPS",21.17,12
2014,"WA5",0,12
2014,"XXX",0,12
2015,"BDA",201.93,12
2015,"BGA",151.22,12
2015,"CCA",495.93,12
2015,"ERA",553.79,12
2015,"MNA",79.68,12
2015,"MRA",26.83,12
2015,"SFA",617.67,12
2015,"XXX",0,12
2015,"BRA",149.96,12
2015,"CBA",875.64,12
2015,"CLO",776.28,12
