"VESSEL_NUM","LANDING_MONTH","LANDING_YEAR","LAT","DISTANCE_A","LANDED_WEIGHT_LBS","AFI_EXVESSEL_REVENUE","Percentage","diversity"
"AK2846AK",4,2019,44.636,0,178817,105130.19308,1,1
"AK2846AK",4,2020,45.1498238503692,163094.303942263,216844,115434.02,1,1
"AK2846AK",5,2018,44.4450906326445,101299.542764158,300716,152421.46,1,1
"AK2846AK",5,2019,44.465309226632,96678.5536251769,222919,117753.69892,1,1
"AK2846AK",5,2020,37.3296835877573,512060.670024964,348792,208895.4,1,1
"AK2846AK",6,2018,44.636,0,704066,356946.77604,1,1
"AK2846AK",6,2020,36.7117811735445,25540.7893099988,316617,188058.01,1,1.00034474702614
"AK2846AK",7,2020,36.7992570831784,12685.9613462684,396453.3,237223.08,1,1.0000632336206
"AK3246P",6,2001,46.187,0,322555,16534.998144,1,1
"AK3246P",7,2001,46.187,0,761140,45807.04688,1,1
"AK3246P",8,2001,46.187,0,505212,28756.073728,1,1
"AK3246P",9,2001,46.187,0,60739,3189.321408,1,1
"AK3565AN",10,2013,33.8976812581557,102583.096975491,246239,89390.912975,1,1
"AK3565AN",10,2014,34.2867775873293,14722.0108374469,560522,199657.9364,1,1
"AK3565AN",10,2015,34.154072,0,39849,13746.588,1,1
"AK3565AN",10,2016,34.154072,0,5805,3120.1875,1,1
"AK3565AN",11,2013,33.732368,0,22549,1763.10631,1,1
"AK3565AN",11,2014,34.2378296790519,20274.3434590788,242089,86232.1018,1,1
"AK3565AN",11,2015,34.154072,0,14408,5476.4808,1,1
"AK3565AN",11,2016,34.154072,0,3785,2034.4375,1,1
"AK3565AN",12,2016,34.154072,0,22353,12014.7375,1,1
"AK3565AN",12,2019,34.154072,0,5298,2680.788,1,1
"AK3565AN",2,2020,34.311203,0,21925,10962.5,1,1
"AK3565AN",4,2020,36.606225,0,23552,14131.2,1,1
"AK3565AN",5,2020,36.606225,0,1832,1099.2,1,1
"AK3565AN",6,2014,35.5828547965032,356917.326544865,691329,247014.2332,1,1
"AK3565AN",6,2016,34.154072,0,146949,78985.0875,1,1
"AK3565AN",7,2014,34.2382332071641,42812.8546770548,1090396,388172.1558,1,1.00038180863937
"AK3565AN",7,2016,34.2910002408037,167767.935579657,69729,37479.3375,1,1
"AK3565AN",8,2014,34.154072,0,1017771,362530.0302,1,1
"AK3565AN",8,2016,36.812905,0,6883,3699.6125,1,1
"AK3565AN",9,2014,34.161370121984,8554.0980016036,589479,209972.4198,1,1
"AK3565AN",9,2015,34.154072,0,126215,35108.36004,1,1
"AK3565AN",9,2016,34.154072,0,86488,46487.3,1,1
"AK53403",4,2020,44.636,0,4536,2721,1,1
"AK53403",5,2020,44.636,0,67384,40413,1,1
"AK8806AM",1,2020,34.311203,0,214542,107271,1,1
"AK8806AM",10,2012,33.8300548567273,80565.3733087793,280486,95589.6288,1,1
"AK8806AM",10,2018,34.154072,0,21680,11165.2,1,1
"AK8806AM",10,2019,34.311203,0,151749,76784.994,1,1
"AK8806AM",11,2012,33.732368,0,1229997,413739.48144,1,1
"AK8806AM",11,2018,34.154072,0,126915,65361.225,1,1
"AK8806AM",11,2019,34.311203,0,75344,37667.30792,1,1.02991785962729
"AK8806AM",12,2018,34.154072,0,58351,30050.765,1,1
"AK8806AM",12,2019,34.311203,0,423927,214358.298,1,1.00002832682899
"AK8806AM",2,2020,34.311203,0,243344,121672,1,1
"AK8806AM",3,2020,34.311203,0,133659,66829.5,1,1
"AK8806AM",4,2020,37.1460855090575,102037.213635822,277670,166602,1,1
"AK8806AM",5,2018,36.606225,0,41096,21164.44,1,1
"AK8806AM",5,2020,36.606225,0,110888,64686.6,1,1
"AK8806AM",6,2018,36.6781616348214,24340.4846528833,89600,46144,1,1
"AK8806AM",7,2018,36.969883260939,102628.090416368,151591,78069.365,1,1
"AK9671AF",1,2009,36.812905,0,1811015,114276.3947,0.973321492964461,1
"AK9671AF",1,2010,34.311203,0,90946,10749.8172,1,1
"AK9671AF",10,2009,34.311203,0,153561,45914.739,1,1
"AK9671AF",10,2010,35.085304810874,331043.219241799,545044,161060.502,1,1
"AK9671AF",10,2011,34.154072,0,865923,248802.9585,1,1
"AK9671AF",11,2009,34.311203,0,548859,164108.841,1,1
"AK9671AF",11,2010,34.311203,0,1686102,498243.141,1,1
"AK9671AF",11,2011,34.11865895348,62817.6242948286,1080610,312836.595,1,1
"AK9671AF",12,2009,34.311203,0,702633,210087.267,1,1
"AK9671AF",12,2010,34.311203,0,718999,212464.2045,1,1
"AK9671AF",2,2009,35.3724661698023,466484.312433369,153018,20505.20472,1,1.99237096482167
"AK9671AF",2,2010,33.732368,0,14100,1166.634,1,1
"AK9671AF",3,2009,35.8947128210924,343830.351950457,188856,24733.2202,1,1.86204703790291
"AK9671AF",3,2010,33.9103917484053,104794.382898148,654043,52641.721026,1,1.85734110922648
"AK9671AF",4,2009,36.812905,0,31586,13221.8996,1,1
