year,month,port,SDM_60,SDM_90,SDM_120
2003,8,SPS,NA,NA,NA
2003,8,CWA,0.5272452772208439,0.3890672422407142,0.3091613755553711
2003,8,CLW,0.5651101334563171,0.41177088530257855,0.3145536046172293
2003,8,WA5,NA,NA,NA
2003,8,CLO,0.5794008654984324,0.41722128981586004,0.31510928681468003
2003,8,TLA,0.445782817009736,0.33378200482510906,0.2733713895539342
2003,8,NPA,0.43634274651825367,0.3164582688393073,0.24531139582988287
2003,8,CBA,0.32329102752075034,0.25247052729024855,0.21318738789996283
2003,8,BRA,0.2967568609309184,0.23353241897100468,0.18454930694271737
2003,8,OR1,NA,NA,NA
2003,8,CCA,0.2734243584917942,0.2244525529779309,0.1909676529450849
2003,8,ERA,0.2951614516637018,0.21512472888066417,0.16118812424897605
2003,8,BGA,0.2177253203025909,0.1743075154469788,0.14070467731494754
2003,8,BDA,0.28787022071090507,0.22292483867012247,0.17221434284174436
2003,8,SFA,0.34240434984667706,0.2475734236566717,0.19202572640027615
2003,8,MNA,0.2164001313417598,0.17469553788614695,0.13582001820232117
2003,8,MRA,0.1518454752381771,0.1351771558244382,0.12704258810153354
2003,8,SBA,0.21119254650247674,0.20668044397672244,0.2118514970326185
2003,8,LAA,0.21709769067202347,0.17811849325656862,0.16959561480263904
2003,8,SDA,0.18408335208088922,0.1398396469829597,0.12340154989571284
2003,8,CA2,NA,NA,NA
2003,9,NPS,NA,NA,NA
2003,9,SPS,NA,NA,NA
2003,9,CWA,0.4773836217655076,0.35917483010931023,0.28371365722823577
2003,9,CLW,0.4759736845023418,0.3596851220275703,0.2835043986353922
2003,9,WA5,NA,NA,NA
2003,9,CLO,0.4815627066329831,0.3573987731362006,0.2799304515634604
2003,9,TLA,0.3617585857709249,0.28064161229941653,0.23234045922486138
2003,9,NPA,0.3582024450329217,0.26199615459956294,0.20716178916751898
2003,9,CBA,0.343700744109179,0.2683612137610976,0.2167986866366242
2003,9,BRA,0.3381030177377084,0.26352365373072456,0.2184779677971368
2003,9,OR1,NA,NA,NA
2003,9,CCA,0.3810304180398339,0.2841109403349364,0.22119234745198535
2003,9,ERA,0.3523195214783666,0.2557768167871622,0.19444703573168096
2003,9,BGA,0.320740762911737,0.22725171022084212,0.16939986518703895
2003,9,BDA,0.2613466049464029,0.20167628803056956,0.16013841935925333
2003,9,SFA,0.337920560578213,0.24976360966761907,0.1825356769406206
2003,9,MNA,0.17002484330010634,0.142467074986221,0.11498006217141625
2003,9,MRA,0.29167268457664114,0.23239902718049107,0.18838786301218993
2003,9,SBA,0.2519950524179472,0.24565868934531226,0.23579305097191597
